event,count,success,failure,timeout,p50_ms,p95_ms
chatbot-backend:chat:chat_stream_completed,12,12,0,0,133584,170700
chatbot-backend:generation:generator_completed,12,12,0,0,117423,157559
chatbot-backend:langgraph_stream:langgraph_stream_completed,12,12,0,0,117412,157554
chatbot-backend:orchestration:supervisor_routed,12,12,0,0,117421,157558
chatbot-backend:rag:examiner_completed,12,6,0,0,117422,157559
chatbot-backend:runtime:mcp_direct_tool_probes_completed,8,8,0,0,642,1356
chatbot-backend:runtime:mcp_metadata_checked,12,12,0,0,149,396
chatbot-backend:runtime:mcp_tool_outcomes_completed,12,12,0,0,554,1375
mcp-gen:build:mcp_create_completed,12,12,0,0,72637,113714
mcp-gen:build:mcp_status_updated,36,36,0,0,,
mcp-gen:docker:container_start_completed,12,12,0,0,356,429
mcp-gen:docker:docker_build_completed,12,12,0,0,16,20
mcp-gen:generation:generation_feedback_recorded,13,13,0,0,26261,55554
mcp-gen:generation:openapi_generation_completed,13,13,0,0,26261,55554
mcp-gen:input_normalization:mcp_create_input_normalized,12,12,0,0,29,88
mcp-gen:skill_selection:skill_selection_completed,7,7,0,0,1,2
mcp-gen:skill_selection:skill_selection_initialized,4,4,0,0,64,121
