build_request_id,server_id,status,total_duration_ms,event_count,experiment_id
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-jsonplaceholder-input-doc-r1-f15d4285,,success,91126,1,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-jsonplaceholder-input-doc-r2-16ec3b74,d942d527-31b7-4478-b056-5a18a2c7ca23,success,59428,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-jsonplaceholder-input-doc-r3-87ae6623,511f3917-4b56-45ee-b7c9-aeb5d738a4f4,success,77984,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-dummyjson-input-doc-r1-e5117337,1d6b2d73-4fbd-46fd-9cea-475445599573,success,71076,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-dummyjson-input-doc-r2-55e087fc,fecfb28c-ef8c-4a64-8745-d7e3c7b13a3f,success,73599,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-dummyjson-input-doc-r3-f32962df,8ccda2bb-36ca-4969-9250-fd1353e473d4,success,84665,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-pokeapi-input-doc-r1-9ebc07ea,78fe7069-d5c2-46d7-80e0-bb93b8b761c2,success,71726,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-pokeapi-input-doc-r2-74cddc46,aeff2af4-72ec-4ee6-b634-a33a501f07d2,success,81614,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-off-pokeapi-input-doc-r3-0b44b067,107e7a9d-20ca-4430-8415-458583a026c1,success,73608,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-jsonplaceholder-input-doc-r1-26cb9b20,2767c55d-6361-4e0c-8f0f-4348bdce15d7,success,64148,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-jsonplaceholder-input-doc-r2-9900e8b4,f322a343-9d39-4f25-956b-6937097c8263,success,61648,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-jsonplaceholder-input-doc-r3-2e252314,34c778ad-e56e-47d9-8019-0d1274ae945e,success,64462,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-dummyjson-input-doc-r1-5d03b861,c36ca74e-ed68-4c5a-96b1-20713bd36c18,success,72295,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-dummyjson-input-doc-r2-e679e5ea,f7382ddf-da8f-42d7-b109-c093d1946a66,success,67927,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-dummyjson-input-doc-r3-ca5eaa92,8a4a7e6e-622f-44b7-86b7-36b440445141,success,75389,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-pokeapi-input-doc-r1-0291afe7,22db96cd-7062-42b1-abd0-12a54c98a874,success,85698,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-pokeapi-input-doc-r2-4d00f6ca,66bfbdff-e4ca-491a-b830-266defac6db5,success,73519,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-static-rag-on-pokeapi-input-doc-r3-f3548276,0651382c-d2c3-49fc-9a68-959111802041,success,79435,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-jsonplaceholder-input-doc-r1-b1121a6c,c64ec105-e88b-42ce-98b2-c50df5902366,success,76701,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-jsonplaceholder-input-doc-r2-b1b362ed,f02cf1d8-1d74-4c4c-aae8-5e25414d8250,success,68700,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-jsonplaceholder-input-doc-r3-0fe087b5,7e983cce-ddc8-4291-88cb-4d9108d9aac9,success,65002,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-dummyjson-input-doc-r1-81495f14,3df56c02-4aa4-4982-a3c2-bf0a1500fdc7,success,77311,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-dummyjson-input-doc-r2-d6a0f18d,b529a961-a49d-449d-8386-3e3fe568baf7,success,80589,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-dummyjson-input-doc-r3-ba0b39e3,97166566-a421-473f-a703-5b9e2855073e,success,70274,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-pokeapi-input-doc-r1-0648c1dd,f614e3c7-b900-4194-9264-c34de690c758,success,78728,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-pokeapi-input-doc-r2-0226f2ec,d9d52fad-e9f9-4774-b652-229409873dcb,success,66536,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-off-pokeapi-input-doc-r3-7d161e74,c0b1ff5e-f1f5-4986-a30a-4edfe6a73431,success,76634,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-jsonplaceholder-input-doc-r1-8479a639,c3d81eef-d600-43da-8649-643515004a39,success,65771,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-jsonplaceholder-input-doc-r2-ffe69ca7,43d0319a-07d9-4ded-8e8e-829d6cb49cb1,success,72393,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-jsonplaceholder-input-doc-r3-6085652d,664913c5-6ff7-4c45-affd-64d9de71e698,success,61213,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-dummyjson-input-doc-r1-a7879bd5,7a67e34d-6544-49fa-b73e-d1061234cc57,success,68330,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-dummyjson-input-doc-r2-2cb02ee3,a8fef3b3-01d2-4f7e-8aa5-5e0864cc26e3,success,69226,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-dummyjson-input-doc-r3-f1479c4b,c78c6de5-1f6d-43ce-97aa-b144083f1324,success,75844,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-pokeapi-input-doc-r1-d55bdcc2,6b124c44-4441-4a69-a926-679e052817ba,success,85914,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-pokeapi-input-doc-r2-6da1f410,80ef1b39-f1d9-4f82-b37b-5f0938a42c70,success,74306,3,track-mapr-metrics-matrix-final-20260523-02
track-mapr-metrics-matrix-final-20260523-02-dynamic-rag-on-pokeapi-input-doc-r3-55d71523,5f5c3d51-5416-44ef-837e-ebdec1066ef4,success,64115,3,track-mapr-metrics-matrix-final-20260523-02
