event,count,success,failure,timeout,p50_ms,p95_ms
chatbot-backend:chat:chat_stream_completed,36,36,0,0,105873,126212
chatbot-backend:generation:generator_completed,36,36,0,0,91379,110019
chatbot-backend:langgraph_stream:langgraph_stream_completed,36,36,0,0,91373,110013
chatbot-backend:orchestration:supervisor_routed,36,36,0,0,91377,110017
chatbot-backend:rag:examiner_completed,36,18,0,0,91378,110018
chatbot-backend:runtime:mcp_direct_tool_probes_completed,36,12,24,0,2301,4764
chatbot-backend:runtime:mcp_metadata_checked,36,36,0,0,100,154
chatbot-backend:runtime:mcp_tool_outcomes_completed,36,12,24,0,2345,5539
langgraph-agent:generation:generator_completed,36,36,0,0,91376,110016
langgraph-agent:orchestration:supervisor_routed,36,36,0,0,91375,110014
langgraph-agent:rag:examiner_completed,36,18,0,0,91375,110015
langgraph-agent:rag:rag_retrieval_completed,6,6,0,0,806,987
mcp-gen:build:mcp_create_completed,35,35,0,0,72393,85698
mcp-gen:build:mcp_status_updated,105,105,0,0,,
mcp-gen:docker:container_start_completed,35,35,0,0,1046,1146
mcp-gen:docker:docker_build_completed,35,35,0,0,3,10
mcp-gen:generation:generation_feedback_recorded,35,35,0,0,26629,42455
mcp-gen:generation:openapi_generation_completed,35,35,0,0,26629,42455
mcp-gen:input_normalization:mcp_create_input_normalized,35,35,0,0,7,13
mcp-gen:skill_selection:skill_selection_completed,18,18,0,0,0,2
mcp-gen:skill_selection:skill_selection_initialized,1,1,0,0,129,129
