event,count,success,failure,timeout,p50_ms,p95_ms
chatbot-backend:chat:chat_stream_completed,1,1,0,0,141083,141083
chatbot-backend:generation:generator_completed,1,1,0,0,128570,128570
chatbot-backend:langgraph_stream:langgraph_stream_completed,1,1,0,0,128561,128561
chatbot-backend:orchestration:supervisor_routed,1,1,0,0,128569,128569
chatbot-backend:rag:examiner_completed,1,1,0,0,128570,128570
chatbot-backend:runtime:mcp_direct_tool_probes_completed,1,1,0,0,3015,3015
chatbot-backend:runtime:mcp_metadata_checked,1,1,0,0,104,104
chatbot-backend:runtime:mcp_tool_outcomes_completed,1,1,0,0,3022,3022
langgraph-agent:generation:generator_completed,1,1,0,0,128568,128568
langgraph-agent:orchestration:supervisor_routed,1,1,0,0,128567,128567
langgraph-agent:rag:examiner_completed,1,1,0,0,128568,128568
mcp-gen:build:mcp_create_completed,1,1,0,0,65711,65711
mcp-gen:build:mcp_status_updated,3,3,0,0,,
mcp-gen:docker:container_start_completed,1,1,0,0,1070,1070
mcp-gen:docker:docker_build_completed,1,1,0,0,14,14
mcp-gen:generation:generation_feedback_recorded,1,1,0,0,19958,19958
mcp-gen:generation:openapi_generation_completed,1,1,0,0,19958,19958
mcp-gen:input_normalization:mcp_create_input_normalized,1,1,0,0,21,21
